signal_name,forced_cover_bucket,events,avg_return,median_return,win_rate,avg_mfe,avg_mae,breakeven_cost,avg_return_minus_cost,cost_beating_avg,enough_events,candidate_bucket,bucket_type,buy_aggression_bucket,volume_shock_bucket,trend_regime,volatility_regime,trend_vol_bucket
trend_filtered_short_squeeze_signal,,3,9.611485865187082e-05,0.00018977879434678435,0.6666666666666666,0.001489130206788684,-0.001165092932080225,0.0012,-0.0011038851413481291,False,False,False,volume_shock_bucket,,volume_shock_na,,,
trend_filtered_short_squeeze_signal,,45,-0.00026803950964275657,-0.00036597894094647643,0.4222222222222222,0.001642362792120913,-0.001679898371905169,0.0012,-0.0014680395096427564,False,True,False,volume_shock_bucket,,volume_shock_075_125,,,
trend_filtered_short_squeeze_signal,,43,-0.00028452346880184523,-0.0003989769820971212,0.37209302325581395,0.0014553858771317201,-0.0015214110577704573,0.0012,-0.0014845234688018452,False,True,False,volume_shock_bucket,,volume_shock_lt_075,,,
trend_filtered_short_squeeze_signal,,35,-0.0003009678018569677,-0.00017813240964625887,0.45714285714285713,0.0018306801873493824,-0.0018169487214821606,0.0012,-0.0015009678018569677,False,True,False,volume_shock_bucket,,volume_shock_125_175,,,
trend_filtered_short_squeeze_signal,,30,-0.0003269778208562705,-0.0009478782224056626,0.4,0.002120639105603776,-0.0025137278880984714,0.0012,-0.0015269778208562704,False,True,False,volume_shock_bucket,,volume_shock_ge_175,,,
breakout_forced_cover_signal,,65,0.0007845467428662664,0.0003747059032637168,0.5846153846153846,0.002744424677193064,-0.0017037709628564784,0.0012,-0.00041545325713373345,False,True,False,trend_regime,,,trend_down,,
breakout_forced_cover_signal,,81,-0.00016600935680651836,6.201801182181832e-05,0.5308641975308642,0.0016283702485329532,-0.0017128508878137146,0.0012,-0.0013660093568065182,False,True,False,trend_regime,,,mixed_trend,,
breakout_forced_cover_signal,,275,-0.0002613820516982133,-0.0003034656418026138,0.4290909090909091,0.0019016766392609607,-0.0019711146331541176,0.0012,-0.0014613820516982132,False,True,False,trend_regime,,,trend_up,,
current_short_squeeze_signal,,45,0.0006091384484222503,0.000732108605725923,0.5555555555555556,0.0027867775782313142,-0.002065388069413333,0.0012,-0.0005908615515777495,False,True,False,trend_regime,,,trend_down,,
current_short_squeeze_signal,,48,0.00014633859170178065,0.0002874870168182442,0.6458333333333334,0.0019285014894213869,-0.001624280095818181,0.0012,-0.0010536614082982192,False,True,False,trend_regime,,,mixed_trend,,
current_short_squeeze_signal,,156,-0.0002843022449174985,-0.0003512146591019283,0.4166666666666667,0.0017221044147936715,-0.0018174129673777738,0.0012,-0.0014843022449174985,False,True,False,trend_regime,,,trend_up,,
early_squeeze_candidate_signal,,126,0.00014363283018171199,0.00026863053444614593,0.5873015873015873,0.0015312295895909616,-0.001577993808006687,0.0012,-0.0010563671698182878,False,True,False,trend_regime,,,trend_down,,
early_squeeze_candidate_signal,,205,-3.421011716837727e-06,-0.00014444512861844228,0.4634146341463415,0.0013893556789032915,-0.0012652997017441987,0.0012,-0.0012034210117168377,False,True,False,trend_regime,,,trend_up,,
early_squeeze_candidate_signal,,75,-0.0001187811319723083,0.00010335373646830348,0.5466666666666666,0.0013647182464212016,-0.0014831440663912805,0.0012,-0.0013187811319723083,False,True,False,trend_regime,,,mixed_trend,,
